carat, clarity, color, cut, x dimension, y dimension, z dimension, depth, table, price
0.5, IF, D, Ideal, 5.1, 5.15, 3.2, 61.5, , 3000
0.7, vvs2, E, premium, 5.7, , 3.52, 62, 59, 4500
, Si2, h, Good, 4.3, 4.31, , 62.3, 56, 700
1.2, if, d, ideal, , 6.82, 4.2, 61.7, 58, 10000
0.9, I1, J, Fair, 6, , 3.7, 61.7, , 2400
, Si1, G, very Good, 5.9, 5.92, 3.63, , 57, 4200
0.5, if, D, Ideal, 5.1, , 3.2, 61.5, 57, 3100
0.4, Vvs1, f, good, 4.8, 4.79, 2.95, , , 1500
, SI2, I, good, 4.3, 4.32, , 62.3, , 
1.0, vvs1, F, Ideal, 6.4, , 4, , 58, 7500
0.5, Si1, Colorless, premium, , 5.21, 3.21, 61.6, 58, 
0.4, vvs2, G, Very good, 4.9, 4.88, , 61.2, 56, 1400
, si2, j, Fair, 5.7, 5.71, 3.54, , 54, 2000
1.1, vvs1, e, premium, 6.6, , 4.08, , 57, 9200
0.55, SI2, H, good, 5.3, 5.29, , 62, , 1800
, vvs2, I, Good, 4.4, 4.39, 2.69, 61.3, 57, 
0.5, si1, g, very good, 5.2, , 3.2, , 56, 2300
1.0, IF, d, ideal, 6.5, 6.49, , 61.7, 58, 
0.6, si2, h, Good, 5.5, 5.52, , , 57, 2200
0.7, i1, J, fair, , 5.79, 3.57, 61.6, , 2100
, VVS1, f, Ideal, 6.1, 6.15, 3.9, 61.8, 57, 6000
1.3, si1, G, premium, 6.9, , 4.3, 63, 60, 10500
1.4, IF, D, good, 7.1, 7.12, , 62.4, 59, 11000
, VVS2, e, Good, 4.6, 4.58, 2.85, , 56, 800
1.6, i1, I, fair, 7.3, 7.28, 4.5, , 54, 3400
0.2, Si1, H, very Good, 3.9, 3.89, 2.41, 62.1, , 500
0.35, if, G, Ideal, 4.5, 4.52, , 61.9, 56, 1300
, VVS2, g, good, 4.6, , 2.83, 62.2, 57, 1600
0.55, I1, j, premium, 5.4, 5.42, 3.35, 62.1, , 2500
, vvs1, D, Ideal, 6.7, 6.71, 4.15, , 58, 7700
0.65, Si2, colorless, very good, 5.6, , 3.47, 62.3, 58, 2900
1.5, vvs2, F, good, 7.2, 7.18, , 62.7, 59, 10800
0.9, si2, h, Fair, 6.1, 6.12, 3.78, 62.4, , 2600
, VVS1, e, premium, 6.9, , 4.27, 62.2, 57, 9300
0.45, SI2, I, good, 4.9, 4.91, , 62.1, 56, 1700
0.6, vvs2, G, Good, 5.5, 5.49, , , 58, 2800
, si1, f, very good, 5.3, 5.31, 3.3, 62, 57, 2700
0.95, IF, d, ideal, 6.3, , 3.9, 62.6, 58, 9400
1.05, si2, j, Good, 6.6, 6.58, , 62.7, , 8500
, i1, G, fair, 5.9, , 3.65, 61.9, 55, 2200
0.45, si2, H, ideal, 4.8, 4.82, 3.01, 62.1, 56, 1500
, IF, f, Premium, 6.2, , 3.84, 61.9, 58, 5900
0.85, VVS1, I, good, 5.8, 5.82, , 62.2, 55, 4800
0.95, vvs2, D, Good, 6.3, 6.31, 3.91, 62.4, , 7300
, si1, E, fair, 6.0, 6.01, , , 54, 2700
0.35, IF, g, Very Good, 4.6, , 2.85, 62.0, 57, 1400
0.55, VVS2, j, Ideal, 5.4, , 3.35, 62.3, 56, 2600
, I1, d, good, 4.8, 4.79, 2.96, 61.8, , 1200
1.05, vvs1, F, Premium, 6.7, 6.69, 4.13, , 58, 9500
0.75, Si2, G, good, 5.7, 5.71, , 62.5, 57, 3800
0.65, si1, Colorless, Very Good, 5.6, 5.58, 3.48, 62.6, , 3300
1.4, vvs2, H, good, 7.1, , 4.39, 62.7, 59, 11200
0.3, i1, I, Fair, 4.4, 4.41, , 62.1, 55, 600
0.5, VVS1, E, premium, 5.2, 5.22, , , 58, 2900
1.3, SI2, f, Good, 6.9, , 4.26, 62.3, 57, 9900
, vvs2, D, good, 6.8, 6.81, 4.21, , 59, 8100
0.4, si1, j, Very Good, 4.8, 4.78, 2.96, 62.2, , 1400
1.15, IF, g, Ideal, 6.5, , 4.02, 62.0, 58, 9800
, i1, H, good, 5.9, 5.88, 3.63, 62.4, , 2100
0.55, si2, I, Fair, 5.3, , 3.29, 62.1, 54, 1700
0.6, VVS2, d, Premium, 5.6, 5.58, 3.48, , 57, 3700
, si1, F, very good, 6.1, 6.12, , 62.1, 59, 5000
0.35, i1, G, Ideal, 4.5, 4.52, 2.79, 62.0, , 900
0.75, VVS1, h, good, 5.8, 5.81, , 62.3, 56, 4600
, si2, E, Fair, 5.9, , 3.64, 62.2, 54, 2500
1.05, IF, I, Premium, 6.6, 6.59, 4.09, , 58, 9600
0.4, VVS2, j, good, 4.7, 4.69, 2.91, 62.1, , 1800
0.55, I1, G, very good, 5.3, , 3.28, 62.4, 57, 2300
, vvs1, H, Ideal, 6.8, 6.79, 4.21, 62.2, , 7900
0.7, Si2, d, good, 5.7, 5.69, 3.53, 62.5, , 4000
0.9, si1, colorless, Premium, 6.2, 6.22, , 62.3, 59, 6600
0.5, vvs2, F, good, 5.2, , 3.22, 62.6, 58, 3100
0.45, i1, I, fair, 4.8, 4.81, 2.98, , 54, 1100
1.2, VVS1, e, Premium, 6.8, , 4.20, 62.7, 58, 10200
0.65, SI2, G, good, 5.6, 5.59, 3.47, , 57, 3500
0.55, vvs2, d, Very Good, 5.4, , 3.34, 62.4, 56, 2800
1.3, si1, H, Ideal, 6.9, 6.92, , 62.8, 59, 9900
0.75, IF, f, good, 5.9, , 3.65, 62.5, 57, 4700
, i1, E, Fair, 6.0, , 3.71, 62.6, 55, 2600
0.5, si2, I, very good, 5.1, , 3.17, 62.1, 56, 2200
0.85, vvs2, e, Premium, 6.0, 6.03, 3.73, , 58, 6500
, I1, G, ideal, 5.7, , 3.56, 62.4, 56, 1900
1.1, Si2, H, Fair, 6.6, 6.58, , 62.5, 54, 7100
, VVS1, d, Good, 6.3, 6.32, 3.92, , 57, 7800
0.9, si1, I, very good, 6.2, , 3.85, 62.2, 59, 6700
0.5, vvs2, F, Premium, 5.2, 5.23, , 62.1, 58, 3200
, i1, colorless, Good, 5.5, , 3.41, 62.3, 56, 2400
0.4, IF, G, ideal, 4.7, 4.69, 2.91, , 57, 2600
1.15, VVS2, H, Fair, 6.7, 6.71, 4.14, 62.6, , 9200
, si2, E, very good, 5.8, 5.81, , , 55, 3000
0.7, Si1, I, Premium, 5.7, 5.68, 3.53, 62.7, 58, 4100
0.65, vvs1, d, Good, 5.6, 5.57, , 62.4, 56, 3600
1.25, IF, G, ideal, 6.8, , 4.21, , 59, 10300
0.55, i1, F, Fair, 5.3, , 3.28, 62.1, 54, 2300
0.6, Si2, e, Premium, 5.5, 5.49, , 62.2, 57, 3400
, vvs2, D, good, 6.4, 6.42, 3.97, , , 8000
0.75, si1, I, Very good, 5.9, 5.88, 3.65, 62.3, , 4400
1.4, VVS1, e, Premium, 7.1, , 4.40, 62.7, 58, 11500
, i1, F, Good, 5.9, 5.89, , 62.8, 55, 2500
0.45, si2, H, ideal, 4.8, 4.79, 2.97, , 56, 1500
0.95, Si2, G, Very Good, 6.3, 6.31, 3.92, , 56, 6800
1.05, i1, colorless, Premium, 6.7, 6.68, , 62.5, 57, 7300
0.55, VVS1, H, Good, 5.3, 5.29, , 62.1, 58, 3100
0.65, si2, I, fair, 5.6, 5.59, 3.46, , 56, 3300
, VVS2, E, Premium, 6.5, 6.51, 4.03, 62.3, , 7700
0.8, IF, F, Good, 6.0, , 3.72, , 57, 5900
1.15, si1, G, Very good, 6.8, 6.82, 4.21, 62.6, 58, 9300
, vvs2, D, fair, 6.4, , 3.97, 62.4, , 7900
0.7, Si2, H, Ideal, 5.7, 5.68, 3.52, 62.5, , 4200
1.3, i1, I, Premium, 7.0, , 4.33, 62.7, 56, 9800
0.4, VVS1, F, good, 4.8, 4.77, 2.96, , 55, 2700
, si2, e, Good, 5.6, 5.58, , 62.2, 59, 2900
0.85, IF, D, Very Good, 6.1, 6.09, 3.78, , 56, 6500
1.2, vvs2, G, fair, 6.9, 6.89, , 62.8, 54, 10100
0.5, Si1, H, Premium, 5.1, , 3.16, 62.3, 57, 3000
1.05, i1, I, Very good, 6.6, 6.59, 4.08, , 58, 7400
0.45, VVS2, e, Good, 4.9, , 3.02, 62.4, 55, 2600
0.75, si2, F, ideal, 5.8, 5.77, 3.59, , 56, 4600
, IF, G, Premium, 6.3, 6.28, , 62.5, 57, 7200
0.6, vvs1, H, Good, 5.5, 5.49, , 62.1, 56, 3600
0.9, si2, H, Premium, 6.2, 6.21, 3.84, , 59, 6800
1.1, VVS1, e, Very Good, 6.7, , 4.15, 62.2, 56, 9500
, IF, I, Good, 6.5, 6.52, 4.04, , 58, 7600
0.45, si1, F, fair, 4.9, 4.88, , 62.5, 54, 2100
0.7, vvs2, G, Ideal, 5.7, , 3.54, 62.4, 55, 4300
, i1, colorless, Premium, 5.4, 5.41, 3.35, , 56, 2200
0.8, VVS2, H, very good, 6.0, , 3.72, 62.7, 57, 6300
1.25, si2, D, Good, 6.9, , 4.26, , 58, 10400
0.55, Si1, I, fair, 5.4, 5.39, 3.33, 62.6, , 2800
, vvs1, E, Premium, 6.3, , 3.90, 62.3, 59, 7800
0.65, i1, G, Very Good, 5.6, 5.57, 3.47, , 56, 3400
1.3, Si2, H, fair, 7.0, , 4.33, 62.7, 58, 10200
0.5, VVS1, I, Ideal, 5.2, 5.19, , 62.8, 55, 3200
0.85, si2, F, very good, 6.1, 6.11, 3.78, , 57, 6400
, i1, G, Good, 5.6, , 3.46, 62.4, 59, 2300
1.05, VVS2, e, Ideal, 6.6, 6.62, 4.09, 62.6, , 9300
0.4, Si1, F, fair, 4.7, , 2.92, 62.1, 56, 2400
1.2, vvs1, G, Premium, 6.8, , 4.20, , 58, 10100
, i1, H, very good, 5.9, 5.88, 3.65, 62.5, 57, 2600
0.75, Si2, I, Good, 5.9, 5.89, 3.64, , 56, 4500
0.95, vvs2, G, Ideal, 6.4, 6.41, 3.97, , 58, 6900
1.15, si1, F, very good, 6.9, 6.88, 4.27, , 56, 9600
0.55, VVS1, H, Fair, 5.3, , 3.29, 62.3, 59, 3100
, IF, I, Premium, 6.5, 6.52, 4.03, 62.6, , 7700
0.65, si2, E, Good, 5.6, 5.58, 3.47, , 56, 3300
0.8, i1, G, fair, 6.1, 6.08, , 62.5, 57, 4000
, VVS2, H, Premium, 6.5, 6.53, 4.04, 62.7, 58, 7900
1.3, si1, colorless, very good, 7.1, , 4.39, , 56, 10300
0.7, VVS1, I, Fair, 5.8, 5.77, 3.59, , 55, 4300
0.4, si2, F, Premium, 4.8, 4.78, , 62.4, 58, 2100
1.05, i1, G, Good, 6.7, 6.68, 4.14, , 56, 7400
0.85, VVS2, H, fair, 6.2, 6.21, , 62.2, 57, 6500
, Si1, I, Very good, 5.7, 5.69, 3.52, 62.8, , 4100
0.45, vvs1, G, Ideal, 4.9, , 3.03, 62.1, 59, 2600
1.2, si2, F, Premium, 6.9, 6.88, 4.27, 62.5, 56, 10100
0.5, VVS1, I, fair, 5.1, 5.12, , 62.6, 57, 3200
0.6, si1, G, Very good, 5.5, 5.52, 3.42, , 56, 3500
1.4, vvs2, H, Good, 7.2, , 4.45, 62.7, 58, 12000
, IF, I, fair, 6.4, 6.41, 3.97, , 55, 8000
0.75, Si1, F, Premium, 5.9, 5.91, 3.66, 62.3, 59, 4600
1.1, VVS2, F, fair, 6.8, 6.79, 4.21, , 57, 9400
0.4, Si1, I, Premium, 4.7, 4.69, , 62.2, 55, 2200
, i1, G, Very good, 5.4, 5.43, 3.35, , 59, 2400
0.75, vvs1, H, Good, 5.9, 5.89, , 62.7, 56, 4400
1.35, Si2, e, Ideal, 7.2, , 4.46, 62.8, 57, 10700
, VVS1, I, fair, 6.6, 6.61, 4.09, 62.6, 55, 7900
0.9, si2, G, Premium, 6.3, 6.31, 3.90, , 58, 6900
0.6, IF, H, very good, 5.5, 5.49, 3.41, , 56, 3600
, i1, I, Ideal, 5.7, , 3.53, 62.4, 57, 2500
0.85, VVS2, F, Premium, 6.2, , 3.84, , 59, 6600
1.25, Si2, G, fair, 6.9, 6.91, , 62.3, 58, 10500
0.5, VVS1, H, Very Good, 5.2, , 3.22, 62.1, 57, 3100
0.95, si2, D, Good, 6.4, 6.38, 3.96, , 56, 7100
, IF, I, very good, 6.4, , 3.98, 62.2, 58, 7600
0.45, VVS1, E, Premium, 4.8, 4.81, , 62.5, 55, 2500
1.3, si1, G, Ideal, 7.0, 7.01, 4.34, , 57, 9900
, VVS2, H, fair, 6.6, 6.62, , 62.6, 58, 8100
0.7, Si2, I, very good, 5.8, 5.77, 3.58, , 56, 4200
0.55, VVS1, F, Good, 5.4, 5.38, , 62.4, 59, 3300
1.2, i1, G, Premium, 6.8, 6.81, 4.21, 62.7, , 10100
1.05, VVS2, F, very good, 6.6, 6.65, 4.11, , 58, 9200
0.35, Si1, I, Premium, 4.5, 4.49, , 62.3, 56, 2100
, i1, G, Ideal, 5.2, 5.24, 3.23, , 57, 170000
0.8, VVS1, H, fair, 6.0, 6.01, 3.72, , 58, 4900
1.4, Si2, D, Very good, 7.3, , 4.50, 62.6, 59, 350000
, VVS1, H, Good, 6.5, 6.52, 4.03, 62.6, , 7900
0.5, si2, E, Premium, 5.1, 5.11, , 62.5, 55, 2900
0.9, IF, G, very good, 6.3, , 3.90, , 57, 260000
1.35, i1, I, Ideal, 7.1, 7.12, 4.40, , 56, 9900
, VVS2, D, fair, 6.7, , 4.14, 62.2, 59, 300000
0.65, Si2, F, Very good, 5.5, , 3.41, , 57, 3400
1.15, VVS1, G, Premium, 6.8, 6.85, 4.23, 62.7, , 9800
0.4, si2, H, fair, 4.7, , 2.91, 62.1, 58, 2000
, VVS2, E, Good, 6.3, , 3.90, , 58, 7700
0.95, Si1, G, Ideal, 6.4, 6.42, 3.96, , 56, 7100
0.45, si1, F, very good, 4.9, 4.89, , 62.4, 59, 2300
1.25, VVS2, H, Good, 6.9, , 4.27, , 55, 10400
0.55, i1, I, Premium, 5.3, , 3.28, 62.3, 57, 150000
0.85, Si2, E, fair, 6.1, 6.13, 3.78, , 58, 6300
, VVS1, G, Very good, 6.4, 6.43, 3.97, 62.5, , 7500

